Date,Hour,Temp
2016-01-26,03,45.0
2016-01-26,04,44.0
2016-01-26,05,43.0
2016-01-26,06,44.7
2016-01-26,07,46.3
2016-01-26,08,48.0
2016-01-26,09,49.7
2016-01-26,10,51.3
2016-01-26,11,53.0
2016-01-26,12,54.7
2016-01-26,13,56.3
2016-01-26,14,58.0
2016-01-26,15,57.0
2016-01-26,16,56.0
2016-01-26,17,55.0
2016-01-26,18,54.0
2016-01-26,19,53.0
2016-01-26,20,52.0
2016-01-26,21,51.0
2016-01-26,22,50.0
2016-01-26,23,49.0
2016-01-27,00,43.7
2016-01-27,01,42.1
2016-01-27,02,40.6
2016-01-27,03,39.1
2016-01-27,04,37.5
2016-01-27,05,36.0
2016-01-27,06,38.6
2016-01-27,07,41.1
2016-01-27,08,43.7
2016-01-27,09,46.2
2016-01-27,10,48.8
2016-01-27,11,51.3
2016-01-27,12,53.9
2016-01-27,13,56.4
2016-01-27,14,59.0
2016-01-27,15,57.5
2016-01-27,16,55.9
2016-01-27,17,54.4
2016-01-27,18,52.9
2016-01-27,19,51.3
2016-01-27,20,49.8
2016-01-27,21,48.3
2016-01-27,22,46.7
2016-01-27,23,45.2
2016-01-28,00,45.0
2016-01-28,01,42.4
2016-01-28,02,39.8
2016-01-28,03,37.2
2016-01-28,04,34.6
2016-01-28,05,32.0
2016-01-28,06,36.3
2016-01-28,07,40.7
2016-01-28,08,45.0
2016-01-28,09,49.3
2016-01-28,10,53.7
2016-01-28,11,58.0
2016-01-28,12,62.3
2016-01-28,13,66.7
2016-01-28,14,71.0
2016-01-28,15,68.4
2016-01-28,16,65.8
2016-01-28,17,63.2
2016-01-28,18,60.6
2016-01-28,19,58.0
2016-01-28,20,55.4
2016-01-28,21,52.8
2016-01-28,22,50.2
2016-01-28,23,47.6
2016-01-29,00,50.7
2016-01-29,01,48.1
2016-01-29,02,45.6
2016-01-29,03,43.1
2016-01-29,04,40.5
2016-01-29,05,38.0
2016-01-29,06,42.2
2016-01-29,07,46.4
2016-01-29,08,50.7
